formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,date,action,symbol,slot,price,qty,notional,transaction_cost,net_cash_flow,cash_after,reason,exit_flags,entry_date,entry_decision_date,exit_decision_date,holding_days,pnl_pct,pnl_cash
mom_10,10,no_max_holding,,5.0,2016-11-07,BUY,512880,0,1.09,0.3058103975535168,0.3333333333333333,0.00016666666666666666,-0.33349999999999996,0.6665000000000001,entry,,,2016-11-04,,0,,
mom_10,10,no_max_holding,,5.0,2016-11-07,BUY,159928,1,1.47,0.22671957671957674,0.3332777777777778,0.00016663888888888889,-0.3334444166666667,0.3330555833333334,entry,,,2016-11-04,,0,,
mom_10,10,no_max_holding,,5.0,2016-11-07,BUY,510050,2,1.82,0.18290612019997332,0.33288913876395143,0.00016644456938197573,-0.3330555833333334,0.0,entry,,,2016-11-04,,0,,
mom_10,10,no_max_holding,,5.0,2016-11-08,SELL,510050,2,1.83,0.18290612019997332,0.3347181999659512,0.0001673590999829756,0.3345508408659682,0.3345508408659682,signal_nonpositive,signal_nonpositive,2016-11-07,2016-11-04,2016-11-07,1,0.004489513485015775,0.0014952575326347953
mom_10,10,no_max_holding,,5.0,2016-11-09,BUY,510050,2,1.83,0.18272330548712978,0.3343836490414475,0.00016719182452072377,-0.33455084086596826,-5.551115123125783e-17,entry,,,2016-11-08,,0,,
mom_10,10,no_max_holding,,5.0,2016-11-10,SELL,159928,1,1.48,0.22671957671957674,0.3355449735449736,0.0001677724867724868,0.3353772010582011,0.33537720105820107,signal_nonpositive,signal_nonpositive;rank_exit,2016-11-07,2016-11-04,2016-11-09,3,0.005796421517132769,0.0019327843915344515
mom_10,10,no_max_holding,,5.0,2016-11-10,SELL,510050,2,1.83,0.18272330548712978,0.3343836490414475,0.00016719182452072377,0.3342164572169268,0.6695936582751278,signal_nonpositive,signal_nonpositive,2016-11-09,2016-11-08,2016-11-09,1,-0.0009995002498751123,-0.0003343836490414642
mom_10,10,no_max_holding,,5.0,2016-11-11,BUY,510050,1,1.83,0.18323954382222157,0.33532836519466547,0.00016766418259733275,-0.3354960293772628,0.33409762889786504,entry,,,2016-11-10,,0,,
mom_10,10,no_max_holding,,5.0,2016-11-11,BUY,510880,2,1.47,0.22716371671162044,0.33393066356608203,0.00016696533178304102,-0.3340976288978651,-5.551115123125783e-17,entry,,,2016-11-10,,0,,
mom_10,10,no_max_holding,,5.0,2016-11-28,SELL,512880,0,1.16,0.3058103975535168,0.35474006116207946,0.00017737003058103973,0.3545626911314984,0.35456269113149835,rank_exit,rank_exit,2016-11-07,2016-11-04,2016-11-25,15,0.06315649514692183,0.021062691131498428
